algorithm,K,dataset,seed,max_reward,profits,user_satisfaction,power_violation,runtime,epochs,max_reward_epoch
QT,2,bau_100,20,-0.7459960885869,-351.06430708,0.93405532,84.85489372,9.487025736107777,250,164
QT,2,bau_1000,20,-0.6694427261646,-343.71616454,0.93267161,25.82407512,9.515853301643055,250,35
QT,2,bau_10000,10,-0.6618854400908,-399.49089314,0.96514872,52.84374796,4.6101760670873855,119,49
QT,2,optimal_100,30,-0.9155831136326,-239.1284752,0.85599228,2.65965388,9.431632103301943,250,147
QT,2,optimal_1000,30,-0.6403866501432001,-340.65647786,0.93610344,14.70812596,4.585622689525287,119,71
QT,2,optimal_10000,30,-0.8053691768683999,-242.751911,0.8692268,5.41797056,9.528931014583332,250,89
QT,2,random_100,20,-1.978413146625,-36.4670379,0.67967021,0.56613965,9.4643708537725,250,6
QT,2,random_1000,20,-2.0424614659236,-29.0293895,0.67285568,0.45270183,9.514969864113333,250,82
QT,2,random_10000,30,-2.0488512803064998,-24.0775496,0.66878464,0.42006021,9.50887037407111,250,35
QT,10,bau_100,30,-0.7210375601719999,-319.22469691,0.91885426,53.619362,9.576553823810276,250,51
QT,10,bau_1000,20,-0.7145318834451,-353.36498151,0.93560187,43.01153743,9.587067666234168,250,167
QT,10,bau_10000,20,-0.7457886427319,-326.9024795,0.91927806,43.11251114,9.647172166186945,250,12
QT,10,optimal_100,30,-0.9000675638762,-269.65360291,0.87475353,2.86654185,9.57488781933611,250,1
QT,10,optimal_1000,30,-0.8668293091436999,-242.024228,0.86230169,6.70293006,9.660372782679724,250,37
QT,10,optimal_10000,20,-0.9061579408717,-225.10890885,0.85215179,6.27740078,9.662161913435,250,54
QT,10,random_100,20,-2.0965848328311,-17.86759509,0.66292111,0.39010408,9.6310130609875,250,86
QT,10,random_1000,30,-2.0128417016914,-28.75588792,0.67311255,0.47826241,9.604065070698333,250,38
QT,10,random_10000,30,-1.9897848757220002,-29.8681236,0.67425835,0.50804209,9.656414993369443,250,42
dt,2,bau_100,10,-0.7972784045741,-325.87716428,0.92559488,150.39198873,5.821011488696389,250,50
dt,2,bau_1000,30,-0.7192260493818999,-266.82420867,0.89358939,37.5439323,5.823059365497222,250,243
dt,2,bau_10000,20,-0.6957644021438999,-295.63875129,0.90817608,55.39360303,5.830217162875833,250,245
dt,2,optimal_100,10,-0.6771810457409,-357.30642208,0.94551756,40.42061112,5.7425573086297215,250,3
dt,2,optimal_1000,10,-0.6333644252075,-397.45723006,0.96791969,33.19405791,5.867071070068889,250,3
dt,2,optimal_10000,10,-0.634678716804,-419.8730149,0.98122579,45.42032045,5.822378655829445,250,3
dt,2,random_100,30,-1.9166743379416,-104.561068,0.7263759,2.75038406,5.7503260890488885,250,11
dt,2,random_1000,10,-1.9380387474093999,-44.85235582,0.6870745,0.97142265,5.7606605644675,250,27
dt,2,random_10000,10,-1.8685305172795,-59.3242104,0.69899139,1.09113818,5.7784691738625,250,13
dt,10,bau_100,20,-0.7928774282218,-319.72997048,0.9107034,35.95584232,5.917167722731667,250,0
dt,10,bau_1000,10,-0.6478265556428,-297.29101127,0.91761605,66.36408533,5.920005122855,250,233
dt,10,bau_10000,20,-0.4411945236553,-331.69716669,0.96012204,74.48091439,5.992177399502777,250,241
dt,10,optimal_100,30,-1.1236468082703,-245.86924826,0.85852581,167.06251139,5.917941080665834,250,1
dt,10,optimal_1000,20,-0.8739955729253,-188.91004037,0.8525735,69.21677712,5.9684178209347225,250,171
dt,10,optimal_10000,10,-0.7209777846455001,-351.38380938,0.93799109,56.15067635,6.123604727759444,250,1
dt,10,random_100,20,-2.1280824978276,-22.83380409,0.66468148,0.70102879,5.9323500691058335,250,5
dt,10,random_1000,20,-2.1184517748723,-15.36749624,0.66029521,0.49365511,5.972555699838056,250,6
dt,10,random_10000,20,-1.8161992756775,-117.43803807,0.73772316,8.2096887,5.986154902017778,250,42
gnn_act_emb,2,bau_100,30,-0.5936688396074999,-322.52594586,0.97026206,333.60852735,19.948736395323888,223,7
gnn_act_emb,2,bau_1000,10,-0.6541470886467999,-447.73814942,0.99751152,27.21936315,19.977706839066112,223,216
gnn_act_emb,2,bau_10000,30,-0.6609030181269999,-379.28601514,0.99096372,355.69346918,19.952459263044723,222,9
gnn_act_emb,2,bau_25_1000,30,-0.5789362350565,-400.37478131,0.98329473,104.308056,19.891279425694723,223,49
gnn_act_emb,2,bau_50_1000,40,-0.6656289227698,-368.825665,0.964958,105.065759,19.91119103728028,225,48
gnn_act_emb,2,bau_75_1000,10,-0.4212829263401,-305.35599614,0.95225458,76.04219538,19.97729630078361,224,25
gnn_act_emb,2,optimal_100,20,-0.1595472791197,-281.11394182,0.98343388,108.0629341,19.95326900956889,223,31
gnn_act_emb,2,optimal_1000,10,-0.1084069008588,-266.14805954,0.99241498,85.03933346,19.907219333066667,222,66
gnn_act_emb,2,optimal_10000,30,-0.047826970180999996,-242.0435006,0.98076846,35.00728117,19.957298104034724,223,83
gnn_act_emb,2,optimal_25_1000,30,-0.045243447226999994,-245.34159398,0.98490372,34.2372761,19.94374692664333,223,196
gnn_act_emb,2,optimal_50_1000,30,-0.0212179733121,-252.62719353,0.97966789,8.26320878,19.89433269775889,222,212
gnn_act_emb,2,optimal_75_1000,10,-0.0738032547009,-253.24025323,0.98463611,51.26093657,19.9644443029,222,77
gnn_act_emb,2,random_100,30,-0.8236465907443,-225.500581,0.85837656,17.5402611,19.93060286869333,222,7
gnn_act_emb,2,random_1000,20,-0.8631559268589001,-233.026024,0.86774117,71.2209526,19.911179737343613,221,5
gnn_act_emb,2,random_10000,30,-1.2596103310686,-258.54035,0.87041627,323.712554,19.95305699172972,222,3
gnn_act_emb,5,bau_1000,50,-0.6228417557516,-438.71750363,0.9958917,39.14124212,39.834503065975,243,240
gnn_act_emb,5,optimal_1000,50,-0.0981579389691,-253.63165416,0.98404866,87.28056483,39.83235851557806,242,199
gnn_act_emb,5,random_1000,60,-1.3010994194132,-130.38662934,0.76867909,1.52454092,39.968523083292496,243,126
gnn_act_emb,10,bau_100,50,-0.5669696021978,-383.79136784,0.9875486,108.97768112,39.87446660102889,136,11
gnn_act_emb,10,bau_1000,50,-0.5724812120981,-364.317807,0.98018703,119.00196303,39.92603554234805,137,11
gnn_act_emb,10,bau_10000,50,-0.532798670715,-362.43359506,0.97986526,87.02265136,39.828170924875,136,11
gnn_act_emb,10,bau_25_1000,10,-0.4615747576209,-338.57949307,0.95568594,17.00310609,19.81504941731306,68,31
gnn_act_emb,10,bau_50_1000,50,-0.4474727210473,-324.24881059,0.95493664,65.29481114,39.74081099298278,136,11
gnn_act_emb,10,bau_75_1000,50,-0.47113418902079995,-327.29869972,0.9488709,32.775336,39.94907781766278,137,15
gnn_act_emb,10,optimal_100,20,-0.1440824684733,-259.23054127,0.97546286,105.12524506,19.764088507335,68,40
gnn_act_emb,10,optimal_1000,50,-0.09903888953699999,-261.90288311,0.98691636,84.38860731,39.93489535938056,137,34
gnn_act_emb,10,optimal_10000,50,-0.073305912508,-237.31102231,0.9732541,53.60840928,39.88292357656445,137,36
gnn_act_emb,10,optimal_25_1000,40,-0.0201142599888,-261.52301683,0.99365455,14.70386022,39.744421438821945,137,123
gnn_act_emb,10,optimal_50_1000,10,-0.040465263976000004,-258.88011864,0.98840533,33.98032539,19.93178963375722,68,61
gnn_act_emb,10,optimal_75_1000,50,-0.0578105605172,-268.94979662,0.98913391,48.55226335,39.796462358733606,137,35
gnn_act_emb,10,random_100,20,-1.163952676861,-207.49365453,0.8349648,142.531043,19.714280734806387,68,5
gnn_act_emb,10,random_1000,40,-1.1870206485336001,-170.14514221,0.81591975,101.409435,39.71010697193416,136,3
gnn_act_emb,10,random_10000,50,-0.987268951853,-240.330446,0.85365802,10.6943134,39.84732708147389,137,20
gnn_act_emb,15,bau_1000,50,-0.6071039353776,-349.64053455,0.98308966,216.64621963,45.66007864983,109,10
gnn_act_emb,15,optimal_1000,40,-0.19914821367410002,-272.39518589,0.98584643,163.88517142,45.75800228316611,109,104
gnn_act_emb,15,random_1000,40,-1.3361427544005,-124.71554168,0.76719238,11.429623,45.779681987847226,109,6
gnn_act_emb,20,bau_1000,50,-0.5876231712884,-337.31918912,0.97707666,194.2119632,45.4961125201825,83,10
gnn_act_emb,20,optimal_1000,50,-0.2688528908541,-226.07283359,0.94817189,130.64994732,45.51310876762583,83,19
gnn_act_emb,20,random_1000,40,-1.053767621193,-189.17578311,0.81995672,2.86195896,45.91557022974389,84,53
gnn_act_emb,25,bau_1000,30,-0.6271140109143,-370.59996289,0.99779783,389.08824269,39.95156368275028,59,11
gnn_act_emb,25,optimal_1000,20,-0.20665831818670002,-253.10282661,0.98969776,187.92787452,39.84748949547917,59,54
gnn_act_emb,25,random_1000,10,-1.2456418365014998,-169.645373,0.79628443,36.6548494,39.98489270821583,59,14
gnn_act_emb,30,bau_1000,0,-0.2770338017027,-265.12507604,0.9511493,30.34884214,46.56369121848805,58,14
gnn_act_emb,30,optimal_1000,20,-0.254413405648,-286.42541025,0.99799868,204.15738335,46.69526757591278,58,53
gnn_act_emb,30,random_1000,0,-1.1019270225276,-168.9946611,0.80430324,6.37552332,46.60790437447194,58,31
gnn_act_emb,35,bau_1000,0,-0.267492187418,-256.68510308,0.94266323,24.64799459,46.64852601108278,50,14
gnn_act_emb,35,optimal_1000,0,-0.1449438854961,-281.27143181,0.98705573,134.73346898,46.79101931690305,50,49
gnn_act_emb,35,random_1000,0,-0.9574113149609,-327.24046013,0.90904596,154.079002,46.74157688784278,50,12
gnn_act_emb,40,bau_1000,0,-0.3268754538687,-316.33944198,0.96920324,94.01596605,46.77682802034639,44,13
gnn_act_emb,40,optimal_1000,10,-0.2539486278002,-280.15635497,0.98051437,199.29530005,46.785957518269726,44,40
gnn_act_emb,40,random_1000,0,-0.9254652820714999,-329.15448499,0.91221725,145.10742,46.46234034095667,44,12
gnn_act_emb,45,bau_1000,0,-0.2529377673768,-305.5648308,0.97343714,41.99383907,46.4819628102,38,13
gnn_act_emb,45,optimal_1000,10,-0.2938893373073,-292.03933844,0.99414051,256.02077832,46.48102843536445,38,37
gnn_act_emb,45,random_1000,0,-0.8997057581803001,-287.135419,0.88848017,85.5015912,46.57016405881805,38,14
gnn_act_emb,50,bau_1000,30,-0.3289070560924,-292.71956765,0.96682956,167.93866302,39.11785627404806,28,10
gnn_act_emb,50,optimal_1000,30,-0.49666520899000005,-295.05412004,0.99328889,421.34656619,39.00470448775555,28,26
gnn_act_emb,50,random_1000,30,-0.8897882960337,-216.76649695,0.8477953,12.9042397,39.13648130501556,28,24
gnn_act_emb,100,bau_1000,30,-0.6291425062506,-362.77578485,0.99049329,387.3713492,38.85019901661278,11,10
gnn_act_emb,100,optimal_1000,30,-0.631989852881,-239.20496914,0.97275161,546.81127059,38.738628076219165,11,8
gnn_act_emb,100,random_1000,20,-1.3104662021049,-313.23062826,0.90795202,524.414871,38.78230952152639,11,3
