algorithm,K,dataset,seed,runtime,best,eval_reward
sac,-1,online,93303,11.27138811979029,-314094.125,"[-348299.6875  -314094.125   -348072.625   -374127.75    -340897.0625
 -349066.5625  -375075.75    -331381.65625 -357829.71875 -381758.28125
 -380647.9375  -369101.      -354997.9375  -369064.03125 -365270.53125
 -345371.1875  -362222.28125 -372024.96875 -344155.53125 -364403.75
 -347714.71875 -343354.875   -370052.96875 -405388.15625 -343262.25
 -366055.59375 -411740.125   -380044.65625 -377342.5625  -379654.875
 -369230.5625  -381831.5625  -365196.65625]"
sac,-1,online,66173,11.210591752794054,-291782.15625,"[-291782.15625 -347843.1875  -319032.75    -360544.4375  -330967.15625
 -328442.      -346033.90625 -330696.3125  -367659.25    -356283.28125
 -389183.09375 -396880.34375 -326852.28125 -412677.34375 -367671.75
 -391981.84375 -362244.09375 -381814.34375 -342611.5625  -380626.875
 -424766.21875 -358017.4375  -416411.25    -388559.96875 -393778.28125
 -386832.84375 -391236.65625 -399396.6875  -386444.59375 -379489.0625
 -369996.25    -377828.65625 -401173.125  ]"
sac,-1,online,64763,11.239343772265647,-323946.1875,"[-323946.1875  -374048.75    -358830.875   -347039.125   -373052.875
 -360564.5     -386410.21875 -376917.65625 -367734.5     -363055.375
 -365950.28125 -364439.59375 -365227.1875  -388955.71875 -423590.0625
 -377100.375   -424178.90625 -379340.5625  -411112.15625 -387099.875
 -399141.4375  -375916.53125 -378264.75    -393584.21875 -388787.6875
 -376539.59375 -405779.9375  -384251.1875  -416870.8125  -416552.75
 -426247.28125 -398421.4375  -403343.0625 ]"
td3,-1,online,79947,4.657092839810583,-364687.125,"[-370606.6875  -364687.125   -377532.15625 -375796.90625 -382670.625
 -378122.0625  -375112.625   -374527.28125 -381947.15625 -382472.3125
 -373186.625   -380154.8125  -372373.625   -372161.875   -376610.
 -373662.9375  -378659.09375 -385782.71875 -375240.4375 ]"
td3,-1,online,44310,4.633328449394968,-434336.6875,"[-458752.34375 -447852.46875 -450902.875   -452671.78125 -444757.375
 -458151.15625 -450010.      -450542.71875 -437822.53125 -457147.78125
 -439515.125   -444233.78125 -445950.46875 -438710.34375 -451993.875
 -456637.15625 -435655.3125  -434336.6875  -448663.90625 -450871.875  ]"
td3,-1,online,48945,4.633349485198656,-423479.15625,"[-447690.46875 -423479.15625 -447368.34375 -437182.84375 -432984.96875
 -427062.78125 -431217.25    -438434.03125 -445267.5     -446868.625
 -453574.9375  -444754.9375  -438194.125   -454728.0625  -440568.875
 -460382.3125  -446637.1875  -434472.28125 -437100.21875]"
ppo,-1,online,33206,5.197703645361794,-77575.453125,"[-194533.875     -188267.71875   -165030.921875  -141304.859375
 -142429.765625  -118238.671875  -111114.78125   -101522.53125
  -80945.203125   -92174.125      -83353.9296875  -87059.34375
  -84347.8671875  -84820.9296875  -90759.2421875  -90840.703125
 -103368.4609375  -92540.6640625  -90223.1171875  -77575.453125
  -97518.890625  -110049.875      -99963.9140625  -93086.4296875
  -84900.96875    -86011.7421875  -82289.28125    -85762.4140625
  -91359.03125   -102764.078125   -98359.2578125]"
ppo,-1,online,90715,5.190163827869627,-93372.109375,"[-211154.3125    -174853.453125  -147711.875     -147404.25
 -147343.84375   -121503.8828125 -117514.0390625 -125674.6640625
 -106840.359375   -99594.8359375 -117840.046875  -133098.796875
 -126753.046875  -128370.78125   -110715.9140625 -127665.21875
 -115935.6328125 -103130.5625     -93372.109375  -100776.84375
 -109758.1015625  -96129.9375    -106142.0546875 -108890.75
 -114505.328125   -97835.8515625  -96751.40625    -99939.578125
 -103914.7578125 -118195.171875 ]"
ppo,-1,online,47602,5.203534365561273,-70430.296875,"[-190456.96875   -172955.234375  -148352.96875   -151483.765625
 -150360.90625   -126270.265625  -113618.3125    -113994.2578125
  -98849.734375   -83172.984375   -95823.4765625  -90629.171875
  -85643.8984375  -70430.296875   -89692.859375  -103785.890625
  -90996.6875     -84339.078125   -84766.2578125  -88295.5390625
  -76563.8046875  -83968.875      -88184.75       -80660.03125
  -93965.2734375  -87898.1640625  -80342.6875     -86688.0546875
  -88267.0703125  -96403.7265625 -113924.9296875]"
tqc,-1,online,28964,11.297517461909187,-329507.125,"[-408694.5     -329507.125   -344091.59375 -351103.84375 -374239.53125
 -414211.40625 -407361.09375 -377964.46875 -366922.59375 -368926.65625
 -374943.40625 -390353.09375 -377092.5     -397527.125   -383488.53125
 -425338.8125  -428100.625   -409872.59375 -373605.03125 -375767.78125
 -420036.40625 -428185.03125 -423297.28125 -392245.65625 -369608.3125
 -402559.5625  -439534.125   -397933.625   -364372.03125 -405146.53125
 -386512.71875 -412225.46875 -445833.8125 ]"
